FrequencyThreshold, MaxTransactionSize, MinTransactionSize, NumClasses, NumThreads, NumTransactions, Skew, UseIndex, [P]CountItemByFreq, [P]GenerateCandidates, [P]IdentifyFrequents, [S]_GenerateDataset, [S]_IdentifyActive, [S]_total
0.010000, 8, 1, 128, 48, 10000, 0.100000, 1, 2.72998, 6.97265, 71.4925, 0.017173, 89.738
0.010000, 8, 1, 128, 48, 10000, 0.100000, 1, 2.1761, 7.11507, 71.3471, 0.020062, 89.2062
0.010000, 8, 1, 128, 1, 10000, 1.000000, 1, 0.879889, 2.64519, 1625.25, 71.7568, 0.118763, 1713.79
0.010000, 8, 1, 128, 1, 10000, 1.000000, 1, 0.844352, 2.20205, 1630.05, 71.6788, 0.104638, 1718.27
0.010000, 8, 1, 128, 1, 10000, 1.000000, 1, 0.818993, 2.15198, 1623.86, 67.2724, 0.111459, 1707.51
0.010000, 8, 1, 128, 2, 10000, 1.000000, 1, 0.599355, 2.52264, 1399.53, 71.9162, 0.104521, 1487.83
0.010000, 8, 1, 128, 2, 10000, 1.000000, 1, 0.598094, 2.85735, 1410.15, 72.4555, 0.103754, 1499.52
0.010000, 8, 1, 128, 2, 10000, 1.000000, 1, 0.592728, 2.80838, 1413.19, 72.1447, 0.133001, 1502.12
0.010000, 8, 1, 128, 4, 10000, 1.000000, 1, 0.703492, 2.96158, 1371.06, 72.0823, 0.168155, 1459.95
0.010000, 8, 1, 128, 4, 10000, 1.000000, 1, 0.70657, 2.72413, 1375.21, 72.1118, 0.124836, 1464.05
0.010000, 8, 1, 128, 4, 10000, 1.000000, 1, 0.70395, 3.2149, 1385.29, 71.7434, 0.207528, 1474.36
0.010000, 8, 1, 128, 8, 10000, 1.000000, 1, 1.5822, 3.75929, 1412.2, 71.8211, 0.15038, 1502.91
0.010000, 8, 1, 128, 8, 10000, 1.000000, 1, 1.65484, 3.72322, 1369.67, 72.4267, 0.168903, 1460.81
0.010000, 8, 1, 128, 8, 10000, 1.000000, 1, 1.49853, 3.60878, 1385.71, 71.929, 0.115243, 1476.15
0.010000, 8, 1, 128, 16, 10000, 1.000000, 1, 2.75118, 5.23712, 1367.02, 71.8679, 0.091413, 1460.37
0.010000, 8, 1, 128, 16, 10000, 1.000000, 1, 2.79983, 4.85251, 1402.56, 71.9244, 0.109431, 1495.48
0.010000, 8, 1, 128, 16, 10000, 1.000000, 1, 2.84386, 5.10062, 1382.94, 71.888, 0.102545, 1476.15
0.010000, 8, 1, 128, 32, 10000, 1.000000, 1, 1.95057, 1.88461, 10.2089, 71.8925, 0.071134, 98.7055
0.010000, 8, 1, 128, 32, 10000, 1.000000, 1, 1.76935, 2.10535, 10.9435, 71.766, 0.025472, 99.2663
0.010000, 8, 1, 128, 32, 10000, 1.000000, 1, 1.87208, 1.98977, 10.3311, 72.0868, 0.026, 98.6978
0.010000, 8, 1, 128, 48, 10000, 1.000000, 1, 2.7883, 2.71317, 10.4294, 71.2242, 0.034619, 99.8091
0.010000, 8, 1, 128, 48, 10000, 1.000000, 1, 2.77008, 3.32522, 10.4038, 72.4851, 0.02082, 101.626
0.010000, 8, 1, 128, 48, 10000, 1.000000, 1, 2.45717, 3.9695, 10.3213, 72.0884, 0.019055, 101.672
0.010000, 8, 1, 128, 1, 10000, 2.000000, 1, 16.2441, 5.77685, 54653.6, 71.7884, 0.325236, 54766.6
